Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
University Medical Center Southern Nevada,NV,Healthcare Provider,1300000,8/13/2021,Hacking/IT Incident,Network Server,No,
Waste Management Health and Welfare Benefits Plan,TX,Health Plan,922,8/12/2021,Hacking/IT Incident,Network Server,No,
"Express MRI – Norcross, LLC",GA,Business Associate,1707,8/11/2021,Hacking/IT Incident,Email,Yes,
"St. Joseph's/Candler Health System, Inc.",GA,Healthcare Provider,1400000,8/10/2021,Hacking/IT Incident,Network Server,No,
Electromed,MN,Healthcare Provider,47200,8/9/2021,Hacking/IT Incident,Network Server,No,
Long Island Jewish Forest Hills Hospital ,NY,Healthcare Provider,10333,8/6/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Wisconsin Institute of Urology S.C.,WI,Healthcare Provider,4819,8/5/2021,Hacking/IT Incident,Email,No,
Vision for Hope ,IL,Healthcare Provider,5517,8/3/2021,Hacking/IT Incident,Email,No,
UnitedHealth Group Single Affiliated Covered Entity,MN,Health Plan,774,7/30/2021,Unauthorized Access/Disclosure,Network Server,No,
"A2Z Diagnostics, LLC",NJ,Healthcare Provider,35587,7/28/2021,Hacking/IT Incident,Email,No,
Benefis Hospitals Inc,MT,Healthcare Provider,81043,7/27/2021,Hacking/IT Incident,Email,No,
"siParadigm, LLC",NJ,Healthcare Provider,1654,7/26/2021,Unauthorized Access/Disclosure,Network Server,No,
NCH Corporation,TX,Health Plan,11427,7/24/2021,Hacking/IT Incident,Network Server,No,
Medi-Lynx Cardiac Monitoring,TX,Healthcare Provider,1841,7/23/2021,Hacking/IT Incident,Network Server,No,
Electrical Workers Local 369,KY,Health Plan,662,7/23/2021,Hacking/IT Incident,Email,No,
West Holt Memorial Hospital,NE,Healthcare Provider,541,7/22/2021,Hacking/IT Incident,Email,No,
North Oklahoma County Mental Health Center d/b/a NorthCare,OK,Healthcare Provider,128556,7/21/2021,Hacking/IT Incident,Network Server,No,
"Academic HealthPlans, Inc.",TX,Business Associate,2330,7/21/2021,Hacking/IT Incident,Email,Yes,
Prestera Center for Mental Health Services,WV,Healthcare Provider,2152,7/20/2021,Hacking/IT Incident,Email,No,
"Standard Modern Company, Inc. ",MA,Business Associate,2707,7/20/2021,Unauthorized Access/Disclosure,Paper/Films,Yes,
Youth Consultation Service,NJ,Healthcare Provider,2756,7/19/2021,Hacking/IT Incident,Network Server,No,
The University of North Carolina at Chapel Hill School of Medicine,NC,Healthcare Provider,2718,7/19/2021,Hacking/IT Incident,Email,No,
"Dynamic Health Care, Inc. ",IL,Business Associate,947,7/16/2021,Hacking/IT Incident,Network Server,Yes,
Adena Fayette Medical Center,OH,Healthcare Provider,1389,7/16/2021,Hacking/IT Incident,Email,No,
Bakersfield Hematology Oncology Inc.,CA,Healthcare Provider,1286,7/12/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Starling Physicians ,CT,Healthcare Provider,2808,7/9/2021,Hacking/IT Incident,Email,No,
Osborn Cancer Care,WA,Healthcare Provider,4614,7/8/2021,Hacking/IT Incident,Network Server,Yes,
Lake County Health Department and Community Health Center,IL,Healthcare Provider,705,7/8/2021,Unauthorized Access/Disclosure,Network Server,No,
Hope Medical LLC,GA,Healthcare Provider,500,7/7/2021,Unauthorized Access/Disclosure,Paper/Films,No,
HealthReach Community Health Centers,ME,Healthcare Provider,122340,7/6/2021,Improper Disposal,Electronic Medical Record,No,
Hot Springs Health Program,NC,Healthcare Provider,1984,7/6/2021,Unauthorized Access/Disclosure,Email,No,
"Coastal Family Health Center, Inc",MS,Healthcare Provider,62342,7/2/2021,Hacking/IT Incident,Network Server,No,
CentraCare Health System,MN,Healthcare Provider,842,7/2/2021,Hacking/IT Incident,Network Server,Yes,
"St. Vincent's Services, Inc. D/B/A HeartShare St. Vincent's Services",NY,Healthcare Provider,1927,7/2/2021,Hacking/IT Incident,Network Server,Yes,
"HeartShare Wellness, LTD",NY,Healthcare Provider,586,7/2/2021,Hacking/IT Incident,Network Server,Yes,
"Professional Business Systems, Inc., d/b/a Practicefirst Medical Management Solutions and PBS Medcode Corp., (“Practicefirst”)",NY,Business Associate,1210688,7/1/2021,Hacking/IT Incident,Network Server,Yes,
Wayne County Hospital,IA,Healthcare Provider,2016,7/1/2021,Hacking/IT Incident,Email,No,
"PracticeMax, Inc.",AZ,Business Associate,500,6/30/2021,Hacking/IT Incident,Network Server,Yes,
"Dermatology Group of Arkansas, PA",AR,Healthcare Provider,1579,6/29/2021,Hacking/IT Incident,Email,No,
Peoples Community Health Clinic,IA,Healthcare Provider,40084,6/29/2021,Hacking/IT Incident,Email,No,
"Smile Brands, Inc.",CA,Business Associate,2592494,6/24/2021,Hacking/IT Incident,Network Server,Yes,
MultiPlan,NY,Business Associate,214956,6/24/2021,Hacking/IT Incident,Email,Yes,
Aultman Health Foundation,OH,Healthcare Provider,7354,6/24/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Abode Services,CA,Healthcare Provider,1172,6/22/2021,Hacking/IT Incident,Email,No,
University of Wisconsin Hospitals and Clinics Authority,WI,Healthcare Provider,4318,6/18/2021,Hacking/IT Incident,Network Server,No,
"JFK Medical Associates, PA d/b/a Coastal Medical Group",NJ,Healthcare Provider,1304,6/18/2021,Hacking/IT Incident,"Desktop Computer, Network Server",No,
Health Care Service Corp,IL,Health Plan,543,6/15/2021,Hacking/IT Incident,Network Server,Yes,
Golden Care Pharmacy LLC,NJ,Healthcare Provider,5530,6/14/2021,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No,
Centura Health,CO,Healthcare Provider,738,6/12/2021,Hacking/IT Incident,Email,No,
Illinois Attorney General's Office,IL,Business Associate,501,6/9/2021,Hacking/IT Incident,Network Server,Yes,
Falcon Group International Corp,NY,Healthcare Provider,1900,6/9/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,
UC San Diego Health,CA,Healthcare Provider,495949,6/8/2021,Hacking/IT Incident,Network Server,No,
Glacier Medical Associates,MT,Healthcare Provider,3007,6/7/2021,Hacking/IT Incident,Network Server,No,
Wisconsin Department of Health Services,WI,Health Plan,2868,6/4/2021,Hacking/IT Incident,Email,No,
East Jordan Family Health Center,MI,Healthcare Provider,1151,6/4/2021,Hacking/IT Incident,Network Server,Yes,
Steward Medical Group,MA,Healthcare Provider,640,6/4/2021,Hacking/IT Incident,Email,No,
"AtriCure, Inc. Group Health Plan",OH,Health Plan,2487,6/4/2021,Hacking/IT Incident,Email,No,
Turning Point Clinic,MD,Healthcare Provider,700,6/3/2021,Hacking/IT Incident,Network Server,No,
Scripps Health,CA,Healthcare Provider,147267,6/1/2021,Hacking/IT Incident,Network Server,No,
Five Rivers Health Centers,OH,Healthcare Provider,155748,5/28/2021,Hacking/IT Incident,Email,No,
Lafourche Medical Group,LA,Healthcare Provider,34862,5/28/2021,Hacking/IT Incident,Email,No,
Sturdy Memorial Hospital,MA,Healthcare Provider,57379,5/28/2021,Hacking/IT Incident,Network Server,No,
Walgreen Co.,IL,Healthcare Provider,6498,5/28/2021,Improper Disposal,Paper/Films,No,
SEIU 775 Benefits Group,WA,Business Associate,140000,5/27/2021,Hacking/IT Incident,Network Server,Yes,
LogicGate,IL,Business Associate,47035,5/26/2021,Hacking/IT Incident,Network Server,Yes,
Buckeye Health Plan,OH,Health Plan,2334,5/26/2021,Hacking/IT Incident,Network Server,Yes,
Center for Human Development ,MA,Healthcare Provider,5000,5/25/2021,Hacking/IT Incident,Network Server,No,
Harper County Community Hospital,OK,Healthcare Provider,5725,5/24/2021,Hacking/IT Incident,Network Server,No,
Aspen Dental Management LLC,NY,Business Associate,9620,5/21/2021,Theft,Laptop,Yes,
Westwood Obstetrics and Gynecology (“Westwood”),IL,Healthcare Provider,12931,5/21/2021,Hacking/IT Incident,Network Server,Yes,
Beech Acres Parenting Center,OH,Healthcare Provider,8212,5/21/2021,Hacking/IT Incident,Email,No,
Swedish Covenant Health DBA Swedish Hospital ,IL,Healthcare Provider,4206,5/20/2021,Hacking/IT Incident,Email,No,
Rehoboth McKinley Christian Health Care Services,NM,Healthcare Provider,207195,5/19/2021,Hacking/IT Incident,Network Server,No,
Community Access Unlimited,NJ,Business Associate,13813,5/13/2021,Hacking/IT Incident,Network Server,Yes,
UnitedHealth Group Health Plan SACE,MN,Health Plan,666,5/10/2021,Unauthorized Access/Disclosure,"Network Server, Other",No,
Nocona General Hospital,TX,Healthcare Provider,3254,5/7/2021,Hacking/IT Incident,Network Server,No,
Implant and Prosthodontic Associates,OK,Healthcare Provider,6134,5/6/2021,Theft,Other Portable Electronic Device,No,
"NEC Networks, LLC d/b/a CaptureRx",TX,Business Associate,1656569,5/5/2021,Hacking/IT Incident,Network Server,Yes,
Orthopedic Associates of Dutchess County ,NY,Healthcare Provider,331376,5/4/2021,Hacking/IT Incident,Network Server,No,
"St. John's Well Child and Family Center, Inc. ",CA,Healthcare Provider,29030,4/29/2021,Hacking/IT Incident,Network Server,No,
Wyoming Department of Health,WY,Health Plan,164010,4/29/2021,Unauthorized Access/Disclosure,Network Server,No,
Hand to Shoulder Specialists of Wisconsin Ltd.,WI,Healthcare Provider,39317,4/28/2021,Hacking/IT Incident,Network Server,No,
NPS Corporation,WI,Health Plan,999,4/28/2021,Hacking/IT Incident,Network Server,No,
Werner Electric Supply,WI,Health Plan,720,4/28/2021,Hacking/IT Incident,Network Server,No,
"East Brunswick Open Upright MRI, LLC",NJ,Healthcare Provider,12151,4/28/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
"Open Upright MRI, LLC, d/b/a Woodbridge Radiology",NJ,Healthcare Provider,25272,4/28/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Catholic Charities of North Dakota,ND,Healthcare Provider,1901,4/23/2021,Hacking/IT Incident,Email,No,
Entrust Medical Billing ,OH,Healthcare Provider,5426,4/22/2021,Hacking/IT Incident,Network Server,No,
Pediatric Associates of Milwaukee,WI,Healthcare Provider,8160,4/22/2021,Hacking/IT Incident,Network Server,No,
Gyrodata Incorporated,TX,Health Plan,944,4/22/2021,Hacking/IT Incident,Network Server,No,
"Center for Disease Detection, LLC",TX,Healthcare Provider,2436,4/21/2021,Unauthorized Access/Disclosure,Email,No,
"Health Aid of Ohio, Inc.",OH,Healthcare Provider,141149,4/20/2021,Hacking/IT Incident,Network Server,No,
"Kanan Medical, L.L.C",FL,Healthcare Provider,823,4/19/2021,Unauthorized Access/Disclosure,"Electronic Medical Record, Laptop, Network Server",No,
Urgent HomeMD,TX,Healthcare Provider,615,4/19/2021,Hacking/IT Incident,Email,No,
Sterling Area Health Center,MI,Healthcare Provider,3336,4/15/2021,Hacking/IT Incident,Network Server,Yes,
Montefiore Medical Center ,NY,Healthcare Provider,943,4/13/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Midwest Transplant Network, Inc.  ",KS,Healthcare Provider,17580,4/12/2021,Hacking/IT Incident,Network Server,No,
"HME Specialists, LLC dba Home Medical Equipment Holdco, LLC",NM,Healthcare Provider,153013,4/9/2021,Hacking/IT Incident,Email,No,
"Wolfe Clinic, P.C.",IA,Healthcare Provider,527378,4/9/2021,Hacking/IT Incident,Network Server,No,
Crystal Lake Clinic PC,MI,Healthcare Provider,37331,4/9/2021,Hacking/IT Incident,Network Server,No,
"Harbor Health Services, Inc.",MA,Healthcare Provider,901,4/9/2021,Hacking/IT Incident,Network Server,Yes,
Aloha Practice Management LLC,CA,Business Associate,3835,4/7/2021,Hacking/IT Incident,Network Server,Yes,
"Winona Agency, Inc.",MN,Business Associate,4834,4/6/2021,Hacking/IT Incident,Email,Yes,
"Maestro Health, LLC",IL,Business Associate,2016,4/6/2021,Hacking/IT Incident,Email,Yes,
Atlanta Allergy & Asthma,GA,Healthcare Provider,9851,4/5/2021,Hacking/IT Incident,Network Server,No,
Trinity Health,MI,Business Associate,586869,4/5/2021,Hacking/IT Incident,Network Server,Yes,
Total Health Care Inc.,MI,Health Plan,221454,4/5/2021,Hacking/IT Incident,Email,No,
Cornerstone Municipal Advisory Group LLC dba Manquen Vance,MI,Business Associate,7018,4/2/2021,Hacking/IT Incident,Email,Yes,
Belden Inc.,MO,Health Plan,6348,4/2/2021,Hacking/IT Incident,Network Server,No,
MedData Incorporated,TX,Business Associate,135908,4/1/2021,Unauthorized Access/Disclosure,Other,Yes,
University Medical Center Southern Nevada,NV,Healthcare Provider,1833,3/31/2021,Unauthorized Access/Disclosure,Network Server,Yes,
Memorial Hermann Health System,TX,Healthcare Provider,1893,3/31/2021,Unauthorized Access/Disclosure,Other,Yes,
Memorial Sloan Kettering Cancer Center,NY,Healthcare Provider,18913,3/31/2021,Unauthorized Access/Disclosure,Network Server,Yes,
"La Clinica de La Raza, Inc. (La Clinica)",CA,Healthcare Provider,31132,3/29/2021,Hacking/IT Incident,Network Server,No,
Midland Care Connection Inc,KS,Healthcare Provider,1364,3/29/2021,Hacking/IT Incident,Network Server,Yes,
Apple Valley Clinic,MN,Healthcare Provider,157939,3/26/2021,Hacking/IT Incident,Network Server,Yes,
Citywide Health Plan,UT,Health Plan,3321,3/24/2021,Hacking/IT Incident,Network Server,No,
"San Fernando Valley Medical Group, Inc.",CA,Healthcare Provider,1657,3/24/2021,Hacking/IT Incident,Network Server,No,
Mott Community College,MI,Health Plan,1612,3/24/2021,Hacking/IT Incident,Network Server,No,
Haven Behavioral Healthcare,TN,Business Associate,21714,3/23/2021,Hacking/IT Incident,Network Server,Yes,
Illinois Department of Healthcare and Family Services ,IL,Health Plan,8848,3/22/2021,Unauthorized Access/Disclosure,Paper/Films,No,
"Gastroenterology Consultants, PA",TX,Healthcare Provider,161698,3/19/2021,Hacking/IT Incident,Network Server,No,
Cancer Treatment Centers of America at Midwestern Regional Medical Center,IL,Healthcare Provider,104808,3/19/2021,Hacking/IT Incident,Email,No,
"Florida PACE Centers, Inc",FL,Health Plan,1502,3/18/2021,Unauthorized Access/Disclosure,Network Server,Yes,
Serenity Care PACE,MA,Healthcare Provider,658,3/16/2021,Unauthorized Access/Disclosure,"Network Server, Other",Yes,
Mobile Anesthesiologists ,IL,Healthcare Provider,65403,3/10/2021,Hacking/IT Incident,Network Server,No,
"Child Focus, Inc.",OH,Healthcare Provider,2716,3/5/2021,Hacking/IT Incident,"Laptop, Network Server",No,
"The Board of Trustees of Southern Illinois University, for and on behalf of its School of Medicine, and SIU Physicians & Surgeons, Inc. ",IL,Healthcare Provider,40330,3/5/2021,Hacking/IT Incident,Network Server,No,
Dyras Dental,MI,Healthcare Provider,2745,3/5/2021,Hacking/IT Incident,Network Server,No,
Family Health Services MN d/b/a Entira Family Clinics,MN,Healthcare Provider,1975,3/2/2021,Hacking/IT Incident,Network Server,No,
PeakTPA,MO,Business Associate,50000,3/2/2021,Hacking/IT Incident,Network Server,Yes,
"New Bedford Jewish Convalescent Home, Inc.",MA,Healthcare Provider,873,3/2/2021,Hacking/IT Incident,Email,No,
"ProComp Software Consultants, Inc.",OH,Business Associate,1008,3/2/2021,Hacking/IT Incident,Network Server,Yes,
Geisinger Health Plan,PA,Health Plan,2872,2/28/2021,Unauthorized Access/Disclosure,Paper/Films,No,
Jewish Home Lifecare d/b/a The New Jewish Home,NY,Healthcare Provider,2091,2/26/2021,Hacking/IT Incident,Email,No,
The Home for the Little Wanderers,MA,Healthcare Provider,5396,2/26/2021,Unauthorized Access/Disclosure,Email,No,
"InfuSystem Holdings, Inc.",MI,Business Associate,675,2/25/2021,Hacking/IT Incident,Email,Yes,
"BW Homecare Holdings, LLC d.b.a. Elara Caring ",TX,Healthcare Provider,100487,2/24/2021,Hacking/IT Incident,Email,No,
The Kroger Co. ,OH,Healthcare Provider,1474284,2/19/2021,Hacking/IT Incident,Network Server,No,
Covenant HealthCare,MI,Healthcare Provider,47178,2/19/2021,Hacking/IT Incident,Email,No,
"Rainbow Rehabilitation Centers, Inc",MI,Healthcare Provider,1639,2/19/2021,Hacking/IT Incident,Email,No,
Andor Labs,NC,Healthcare Provider,500,2/19/2021,Hacking/IT Incident,Network Server,No,
"Fisher Titus Health, Inc.",OH,Health Plan,49636,2/18/2021,Hacking/IT Incident,Email,No,
Hope Healthcare Service,FL,Healthcare Provider,1152,2/11/2021,Hacking/IT Incident,Network Server,No,
"Gore Medical Management, LLC",GA,Healthcare Provider,79100,2/8/2021,Hacking/IT Incident,Desktop Computer,No,
Granite Wellness Centers,CA,Healthcare Provider,15600,2/4/2021,Hacking/IT Incident,Network Server,No,
"Texas Spine Consultants, LLP",TX,Healthcare Provider,25728,2/3/2021,Unauthorized Access/Disclosure,Network Server,No,
"DataLogic Software, Inc. ",TX,Business Associate,7200,2/3/2021,Hacking/IT Incident,Network Server,Yes,
Montefiore Medical Center ,NY,Healthcare Provider,1787,1/29/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,
The Richards Group,VT,Business Associate,15429,1/28/2021,Hacking/IT Incident,Email,Yes,
Austin Hearing Services,TX,Healthcare Provider,600,1/23/2021,Unauthorized Access/Disclosure,Email,No,
Inova Health System,VA,Healthcare Provider,1680,1/22/2021,Unauthorized Access/Disclosure,Email,No,
Merrill Iron & Steel Health Benefit Plan,WI,Health Plan,899,1/21/2021,Hacking/IT Incident,Network Server,No,
"Limeade, Inc.",WA,Business Associate,668,1/20/2021,Unauthorized Access/Disclosure,Network Server,Yes,
Wisconsin Department of Health Services,WI,Health Plan,1281,1/15/2021,Unauthorized Access/Disclosure,Network Server,Yes,
"KR Perio, Katherine Rodriguez, DMD",FL,Healthcare Provider,885,1/11/2021,Hacking/IT Incident,"Desktop Computer, Network Server",No,
"Leon Medical Centers, LLC",FL,Healthcare Provider,76661,1/8/2021,Hacking/IT Incident,Network Server,No,
Roper St. Francis Healthcare,SC,Healthcare Provider,189761,1/8/2021,Hacking/IT Incident,Email,No,
"American Anesthesiology, Inc.",NY,Healthcare Provider,1269074,1/8/2021,Hacking/IT Incident,Email,Yes,
Managed Health Services (MHS),IN,Health Plan,11988,1/8/2021,Unauthorized Access/Disclosure,Paper/Films,Yes,
Walgreen Co.,IL,Healthcare Provider,16089,1/8/2021,Unauthorized Access/Disclosure,Email,No,
South Country Health Alliance ,MN,Health Plan,66874,12/31/2020,Hacking/IT Incident,Email,No,
"Apex Laboratory, Inc. ",NY,Healthcare Provider,7102,12/31/2020,Hacking/IT Incident,Network Server,No,
"Simpson Senior Services, Inc.",PA,Healthcare Provider,3259,12/31/2020,Hacking/IT Incident,Email,No,
Buckeye Health Plan,OH,Health Plan,606,12/29/2020,Unauthorized Access/Disclosure,Paper/Films,Yes,
"Agency for Community Treatment Services, Inc.",FL,Healthcare Provider,73825,12/22/2020,Hacking/IT Incident,Network Server,No,
"Kristina T Nguyen, DDS, PC",VA,Healthcare Provider,8000,12/21/2020,Hacking/IT Incident,Network Server,No,
"Iowa Total Care, Inc.",IA,Health Plan,536,12/18/2020,Unauthorized Access/Disclosure,Email,No,
"Comprehensive Neurology, PC",NY,Healthcare Provider,6800,12/17/2020,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
"Community Eye Care, LLC",NC,Health Plan,149804,12/17/2020,Hacking/IT Incident,Email,No,
"MEDNAX Services, Inc.",FL,Business Associate,1290670,12/16/2020,Hacking/IT Incident,Email,Yes,
"Midwest Geriatric Management, LLC",MO,Healthcare Provider,4814,12/14/2020,Hacking/IT Incident,Email,No,
Southeast Health Center of Ripley County,MO,Healthcare Provider,5001,12/11/2020,Hacking/IT Incident,Network Server,No,
SSM Health Insurance Company,WI,Health Plan,4492,12/11/2020,Unauthorized Access/Disclosure,Paper/Films,No,
"TNMO Healthcare, LLC",TN,Healthcare Provider,501,12/11/2020,Improper Disposal,Other,No,
Sonoma Valley Healthcare District,CA,Healthcare Provider,69000,12/9/2020,Hacking/IT Incident,Email,No,
Mercy Health,MO,Healthcare Provider,11187,12/4/2020,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Sincera Reproductive Medicine,PA,Healthcare Provider,37989,12/3/2020,Hacking/IT Incident,Network Server,No,
Montefiore Medical Center ,NY,Healthcare Provider,670,12/1/2020,Unauthorized Access/Disclosure,Paper/Films,No,
US Fertility LLC,MD,Business Associate,878550,11/25/2020,Hacking/IT Incident,Network Server,Yes,
The Tree House Child Advocacy Center of Montgomery County,MD,Business Associate,514,11/23/2020,Unauthorized Access/Disclosure,Network Server,Yes,
Interim HealthCare of the Capital Region,NY,Healthcare Provider,1127,11/23/2020,Hacking/IT Incident,Email,No,
"The Nebraska Medical Center and University of Nebraska Medical Center, Affiliated Covered Entities",NE,Healthcare Provider,216472,11/23/2020,Hacking/IT Incident,Network Server,No,
